LOG ANALISIS (LEXICO) - archivo: algoritmo_jorge.js
Generado por: JorgeBravo
Fecha: 07-07-2026 23:45:00
Flujo: lexer -> parser -> semantico
============================================================

=== ANALISIS LEXICO ===
Tokens reconocidos: 160  |  Errores lexicos: 0
Linea 22  | NEQ          | '!='
Linea 22  | IDENTIFIER   | 'b'
Linea 22  | SEMICOLON    | ';'
Linea 23  | LET          | 'let'
Linea 23  | IDENTIFIER   | 'mayor'
Linea 23  | ASSIGN       | '='
Linea 23  | IDENTIFIER   | 'a'
Linea 23  | GT           | '>'
Linea 23  | IDENTIFIER   | 'b'
Linea 23  | SEMICOLON    | ';'
Linea 24  | LET          | 'let'
Linea 24  | IDENTIFIER   | 'menor'
Linea 24  | ASSIGN       | '='
Linea 24  | IDENTIFIER   | 'a'
Linea 24  | LT           | '<'
Linea 24  | IDENTIFIER   | 'b'
Linea 24  | SEMICOLON    | ';'
Linea 26  | COMMENT_LINE | '// ---- Operadores logicos ----'
Linea 27  | LET          | 'let'
Linea 27  | IDENTIFIER   | 'logico'
Linea 27  | ASSIGN       | '='
Linea 27  | IDENTIFIER   | 'mayor'
Linea 27  | AND          | '&&'
Linea 27  | IDENTIFIER   | 'menor'
Linea 27  | SEMICOLON    | ';'
Linea 28  | LET          | 'let'
Linea 28  | IDENTIFIER   | 'alterno'
Linea 28  | ASSIGN       | '='
Linea 28  | IDENTIFIER   | 'igual'
Linea 28  | OR           | '||'
Linea 28  | IDENTIFIER   | 'diferente'
Linea 28  | SEMICOLON    | ';'
Linea 29  | LET          | 'let'
Linea 29  | IDENTIFIER   | 'negado'
Linea 29  | ASSIGN       | '='
Linea 29  | NOT          | '!'
Linea 29  | IDENTIFIER   | 'igual'
Linea 29  | SEMICOLON    | ';'
Linea 31  | COMMENT_LINE | '// ---- Ciclo while con break valido (dentro del bucle) ----'
Linea 32  | WHILE        | 'while'
Linea 32  | LPAREN       | '('
Linea 32  | IDENTIFIER   | 'mayor'
Linea 32  | RPAREN       | ')'
Linea 32  | LKEY         | '{'
Linea 33  | BREAK        | 'break'
Linea 33  | SEMICOLON    | ';'
Linea 34  | RKEY         | '}'
Linea 36  | COMMENT_LINE | '// ---- Ciclo for con incremento ----'
Linea 37  | FOR          | 'for'
Linea 37  | LPAREN       | '('
Linea 37  | LET          | 'let'
Linea 37  | IDENTIFIER   | 'i'
Linea 37  | ASSIGN       | '='
Linea 37  | NUMBER       | 0
Linea 37  | SEMICOLON    | ';'
Linea 37  | IDENTIFIER   | 'i'
Linea 37  | LT           | '<'
Linea 37  | NUMBER       | 5
Linea 37  | SEMICOLON    | ';'
Linea 37  | IDENTIFIER   | 'i'
Linea 37  | INCREMENT    | '++'
Linea 37  | RPAREN       | ')'
Linea 37  | LKEY         | '{'
Linea 38  | IDENTIFIER   | 'console'
Linea 38  | DOT          | '.'
Linea 38  | IDENTIFIER   | 'log'
Linea 38  | LPAREN       | '('
Linea 38  | IDENTIFIER   | 'i'
Linea 38  | RPAREN       | ')'
Linea 38  | SEMICOLON    | ';'
Linea 39  | RKEY         | '}'
Linea 41  | COMMENT_LINE | '// ---- Impresion ----'
Linea 42  | IDENTIFIER   | 'console'
Linea 42  | DOT          | '.'
Linea 42  | IDENTIFIER   | 'log'
Linea 42  | LPAREN       | '('
Linea 42  | IDENTIFIER   | 'suma'
Linea 42  | RPAREN       | ')'
Linea 42  | SEMICOLON    | ';'
Linea 44  | COMMENT_LINE | '// ---- ERROR SEMANTICO 1: no se puede convertir "Hola" a number ----'
Linea 45  | LET          | 'let'
Linea 45  | IDENTIFIER   | 'numero'
Linea 45  | ASSIGN       | '='
Linea 45  | IDENTIFIER   | 'Number'
Linea 45  | LPAREN       | '('
Linea 45  | STRING       | 'Hola'
Linea 45  | RPAREN       | ')'
Linea 45  | SEMICOLON    | ';'
Linea 47  | COMMENT_LINE | "// ---- ERROR SEMANTICO 2: 'break' fuera de un ciclo ----"
Linea 48  | BREAK        | 'break'
Linea 48  | SEMICOLON    | ';'

